Instance,MOEA/D,MOEA/D+,NSGA-II,Original,PFG-EMOA,Proposed
LC1_2_10_0.json,0.442485628,0.516061181,0.450828973,0.203662964,0.010636695,0.009817142
LC1_2_1_0.json,0.396725935,0.462789604,0.362229669,0.242581029,0.007823739,0.017578708
LC1_2_2_0.json,0.470982226,0.420547972,0.377885297,0.260436192,0.018170665,0.046035453
LC1_2_3_0.json,0.456704739,0.421661283,0.355466109,0.221108653,0.008134511,0.016450832
LC1_2_4_0.json,0.530564406,0.544109467,0.405171819,0.261850268,0.047398079,0.00081585
LC1_2_5_0.json,0.463017672,0.478672942,0.410625756,0.234457119,0.004338944,0.057726709
LC1_2_6_0.json,0.42975884,0.380491983,0.269541851,0.237800539,0.011030479,0.03888398
LC1_2_7_0.json,0.503103256,0.53157582,0.32524288,0.227777772,0.002517055,0.035101309
LC1_2_8_0.json,0.578908307,0.517259349,0.367931442,0.295056136,0.093065173,0
LC1_2_9_0.json,0.537817707,0.565163109,0.273671469,0.28253121,0.004266845,0.039401522
LC1_4_10_0.json,0.448864655,0.584189878,0.291316719,0.28222401,0.063888176,0
LC1_4_1_0.json,0.56280892,0.560532571,0.385446967,0.288606162,0.008865856,0.008032382
LC1_4_2_0.json,0.599833729,0.524294123,0.388926498,0.231191753,0.01174319,0.05974652
LC1_4_3_0.json,0.448604439,0.534688382,0.374658234,0.157070808,0.004626996,0.003863013
LC1_4_4_0.json,0.622317907,0.575412957,0.460594793,0.286197716,0.020624119,0.101643611
LC1_4_5_0.json,0.682740904,0.686585862,0.448911303,0.350330626,0.004663616,0.111602042
LC1_4_6_0.json,0.525721035,0.475128724,0.255553746,0.203458002,0.017949206,0.002285099
LC1_4_7_0.json,0.56412387,0.557926477,0.416613469,0.160879987,0.034149861,0
LC1_4_8_0.json,0.444618369,0.549544395,0.378001667,0.280471703,0.035460024,0.084697216
LC1_4_9_0.json,0.433865447,0.438622778,0.330488535,0.217038989,0.017049546,0
LC1_8_10_0.json,0.518386588,0.483668047,0.299038114,0.332825423,0.026930106,0.013235924
LC1_8_1_0.json,0.529436562,0.479099831,0.337805033,0.265034455,0.020783094,0
LC1_8_2_0.json,0.462471155,0.483606679,0.372086836,0.249234202,0.016485147,0.005832582
LC1_8_3_0.json,0.472419729,0.416873836,0.357112473,0.234415818,0.010764186,0.013937107
LC1_8_4_0.json,0.583496054,0.562637864,0.447561023,0.343644792,0.027601685,0.000640414
LC1_8_5_0.json,0.574474217,0.598056758,0.4360891,0.309667157,0.047543891,0
LC1_8_6_0.json,0.69338986,0.644308503,0.51250597,0.39083251,0.017202574,0.009223116
LC1_8_7_0.json,0.645493412,0.615022755,0.526670869,0.363796845,0.026644612,0.001749956
LC1_8_8_0.json,0.491939117,0.429548486,0.291985489,0.355007241,0.013708137,0.00217678
LC1_8_9_0.json,0.509361963,0.446789686,0.282136557,0.351253746,0.016336887,0.006799926
LC2_2_10_0.json,0.494539009,0.488331112,0.397095855,0.330015858,0.010240744,0.075626926
LC2_2_1_0.json,0.489775758,0.414923333,0.373013132,0.229161214,0.005166234,0.148117835
LC2_2_2_0.json,0.611401305,0.496340251,0.315435858,0.18374641,0.045710169,0
LC2_2_3_0.json,0.455805355,0.444976466,0.367049102,0.293690112,0.015245831,0.026077262
LC2_2_4_0.json,0.571758471,0.446881638,0.325128392,0.259463214,0.005760788,0.033968606
LC2_2_5_0.json,0.461340283,0.508212515,0.346741552,0.310260101,0.033490954,0.080440047
LC2_2_6_0.json,0.393686056,0.440432833,0.326451754,0.241019069,0.004333711,0.024384839
LC2_2_7_0.json,0.44874516,0.478790741,0.384606376,0.339736316,0.036317107,0.058267862
LC2_2_8_0.json,0.545298661,0.496584567,0.357973404,0.311249197,0.00891264,0.052933686
LC2_2_9_0.json,0.340954446,0.311278654,0.267956142,0.190744223,0.037575236,0.027090761
LC2_4_10_0.json,0.390484887,0.39784642,0.280167811,0.2956197,0,0.064736429
LC2_4_1_0.json,0.542323522,0.575828377,0.391641019,0.275061041,0.004120049,0.006356353
LC2_4_2_0.json,0.512083856,0.479099005,0.430926156,0.22594522,0.006433595,0.003227724
LC2_4_3_0.json,0.47509964,0.448492356,0.386820562,0.223310405,0.005347274,0.007302763
LC2_4_4_0.json,0.532198108,0.607824804,0.393598856,0.245059087,0.008221936,0.011715963
LC2_4_5_0.json,0.539907347,0.489353657,0.342427148,0.257333835,0.011756699,0.091268753
LC2_4_6_0.json,0.529286979,0.520305733,0.411799796,0.234473576,0.003518025,0.05308798
LC2_4_7_0.json,0.427832225,0.427344384,0.286007105,0.16291588,0.020397643,0.001914232
LC2_4_8_0.json,0.464364004,0.552076898,0.376735679,0.238934575,0,0.050566492
LC2_4_9_0.json,0.583618496,0.468438026,0.352926093,0.207599956,0.057368747,0.005808141
LC2_8_10_0.json,0.549352948,0.56139225,0.484183617,0.288325745,0.028326641,0.012593501
LC2_8_1_0.json,0.851810723,0.588726303,0.58007328,0.319855662,0.020562737,0.003467192
LC2_8_2_0.json,0.806313651,0.673875225,0.533421154,0.311788955,0.051632178,0.000617201
LC2_8_3_0.json,0.695403406,0.762779132,0.472450057,0.326115187,0.035916731,0.000455432
LC2_8_4_0.json,0.442744621,0.440766898,0.343762147,0.191813013,0.020606159,0.006382531
LC2_8_5_0.json,0.583665188,0.678929941,0.538927269,0.272349678,0.050110853,0
LC2_8_6_0.json,0.726256011,0.6810318,0.536843244,0.352457696,0.021171274,0
LC2_8_7_0.json,0.47665934,0.536396513,0.397330089,0.228618847,0.014266032,0.000726305
LC2_8_8_0.json,0.594552243,0.576060883,0.465766746,0.222973074,0.036832905,0.023629287
LC2_8_9_0.json,0.518114105,0.490815575,0.475212418,0.259068964,0.011538783,0.009479889
LR1_2_10_0.json,0.66065484,0.487965816,0.447078151,0.208124149,0,0.03674461
LR1_2_1_0.json,0.477694808,0.601991016,0.43871467,0.285362283,0.014297116,0.09337972
LR1_2_2_0.json,0.428595409,0.457515681,0.313010496,0.181422891,0.00358436,0.010381262
LR1_2_3_0.json,0.471204902,0.465299658,0.335949031,0.145789053,0.002605799,0.008660492
LR1_2_4_0.json,0.497212149,0.66729819,0.450866446,0.321207838,0.004089753,0.036437248
LR1_2_5_0.json,0.395391589,0.462711308,0.347356713,0.101685855,0.003503018,0.032050421
LR1_2_6_0.json,0.564220687,0.47910817,0.323976968,0.248640559,0,0.079656938
LR1_2_7_0.json,0.460328323,0.517537719,0.325527708,0.264279513,0.002624075,0.016666573
LR1_2_8_0.json,0.516882872,0.421172035,0.355760987,0.228680035,0.008481685,0.007304848
LR1_2_9_0.json,0.553422324,0.453898098,0.418765211,0.271883851,0.002779617,0.028315944
LR1_4_10_0.json,0.522768774,0.530646248,0.502020768,0.347263307,0.038218931,0.053833846
LR1_4_1_0.json,0.517367296,0.381074315,0.310539519,0.18205008,0.033636873,0.044526477
LR1_4_2_0.json,0.388591095,0.429455902,0.312827879,0.177142499,0.009084039,0.040789435
LR1_4_3_0.json,0.498459293,0.514592684,0.402182982,0.320110171,0,0.084338406
LR1_4_4_0.json,0.477450467,0.489764892,0.366639426,0.25477757,0.024049577,0.01483564
LR1_4_5_0.json,0.577331664,0.561156208,0.452556791,0.265339792,0.028362234,0.016355617
LR1_4_6_0.json,0.499116543,0.560209605,0.420783966,0.269214159,0.005143606,0.005464995
LR1_4_7_0.json,0.534344753,0.505852245,0.459817592,0.324784271,0.028303012,0.044541357
LR1_4_8_0.json,0.44527518,0.465922169,0.305641324,0.187010202,0.047122099,0.021334581
LR1_4_9_0.json,0.588008279,0.60327512,0.471564357,0.435714599,0.01285938,0.017895628
LR1_8_10_0.json,0.588179997,0.484449544,0.314895774,0.414629444,0.022413653,0.009252089
LR1_8_1_0.json,0.594917461,0.553681996,0.485902473,0.288757799,0.026195934,0
LR1_8_2_0.json,0.535182642,0.654142559,0.477172104,0.390282148,0.021418355,0.005854781
LR1_8_3_0.json,0.807871348,0.759857222,0.60070968,0.461898567,0.027437911,0
LR1_8_4_0.json,0.704724163,0.591482128,0.348114899,0.464554133,0.110310077,0
LR1_8_5_0.json,0.456203244,0.389728529,0.20622534,0.381331072,0.025614488,0.008699543
LR1_8_6_0.json,0.606564597,0.543014901,0.436732492,0.50579516,0.048535824,0
LR1_8_7_0.json,0.630841683,0.509401268,0.34241155,0.546010755,0.014976442,0.002683918
LR1_8_8_0.json,0.535502919,0.424012349,0.290001297,0.438404704,0.068271568,0
LR1_8_9_0.json,0.724223062,0.556042581,0.332124829,0.43610814,0.033279433,0
LR2_2_10_0.json,0.447645351,0.357519041,0.254402628,0.264344033,0,0.020604772
LR2_2_1_0.json,0.402453152,0.432613982,0.250716462,0.155710692,0.0183277,0.000963522
LR2_2_2_0.json,0.354743348,0.388095328,0.310033097,0.241736829,0.02526552,0.100504235
LR2_2_3_0.json,0.304980963,0.311388481,0.212714827,0.122374424,0.027864904,0.018759135
LR2_2_4_0.json,0.407466612,0.422150028,0.313512257,0.195886532,0.00760647,0.036799376
LR2_2_5_0.json,0.44013978,0.411948994,0.261207886,0.133979425,0.027875335,0.028604997
LR2_2_6_0.json,0.401846919,0.436366665,0.228786013,0.132743403,0.003741442,0.000942656
LR2_2_7_0.json,0.318360376,0.323323499,0.252563891,0.157942621,0.009745999,0.006741344
LR2_2_8_0.json,0.420640056,0.570195971,0.417164519,0.266777994,0.007499238,0.035383211
LR2_2_9_0.json,0.474939851,0.41824831,0.236363698,0.093101254,0.02517079,0.003760368
LR2_4_10_0.json,0.490240917,0.476590328,0.320682602,0.255695856,0.009508902,0.006512422
LR2_4_1_0.json,0.418678883,0.402247795,0.286081591,0.188887985,0.002742289,0.016522948
LR2_4_2_0.json,0.635832028,0.639946805,0.437521449,0.270560506,0.016145552,0.005476669
LR2_4_3_0.json,0.383587617,0.436097574,0.272892524,0.176919152,0.012241565,0.002225811
LR2_4_4_0.json,0.450930521,0.63543523,0.378075032,0.200349155,0.014752675,0.009634154
LR2_4_5_0.json,0.525442304,0.478444568,0.316876526,0.15488074,0.021388141,0.009619131
LR2_4_6_0.json,0.431217694,0.457307305,0.297627522,0.205145017,0.021154441,0.049871716
LR2_4_7_0.json,0.669855555,0.653542698,0.472210353,0.289935378,0.011279581,0.009769989
LR2_4_8_0.json,0.415441943,0.42484551,0.284780405,0.221343938,0.008262743,0.002516494
LR2_4_9_0.json,0.6312124,0.431878198,0.373194976,0.207350702,0.010523067,0.025486157
LR2_8_10_0.json,0.569424726,0.55284747,0.351701641,0.286124053,0.026345774,0.002976461
LR2_8_1_0.json,0.408401187,0.411335485,0.267984209,0.238201899,0.01401434,8.97E-05
LR2_8_2_0.json,0.75355441,0.63125165,0.526222817,0.348287205,0.051372372,0
LR2_8_3_0.json,0.533103031,0.551113372,0.412621848,0.31588475,0.045562218,0.011110388
LR2_8_4_0.json,0.481405951,0.389583106,0.390504624,0.236355116,0.016841044,0.00018232
LR2_8_5_0.json,0.72942134,0.628966357,0.512036538,0.41263548,0.016382387,0.000786738
LR2_8_6_0.json,0.437838081,0.436028918,0.302232811,0.266472259,0.027747976,0.014643959
LR2_8_7_0.json,0.571857096,0.545583149,0.430824396,0.323260391,0.049055779,0.000595778
LR2_8_8_0.json,0.587536769,0.579047648,0.451916928,0.323198193,0.029784885,0.011094054
LR2_8_9_0.json,0.539101014,0.631163076,0.547070623,0.327169489,0.022364517,0.002169059
LRC1_2_10_0.json,0.492798014,0.428350383,0.364862846,0.270398283,0,0.132339849
LRC1_2_1_0.json,0.445599382,0.520365879,0.372343373,0.212995465,0,0.04288964
LRC1_2_2_0.json,0.576923031,0.573282073,0.431485134,0.321467133,0.02467376,0.145654397
LRC1_2_3_0.json,0.577796794,0.539141255,0.361249163,0.242403262,0.007030201,0.017168792
LRC1_2_4_0.json,0.577501883,0.50620998,0.408163353,0.305491499,0.051722039,0
LRC1_2_5_0.json,0.498077988,0.491454459,0.380862807,0.209125441,0.0159533,0.007836011
LRC1_2_6_0.json,0.430463808,0.446687995,0.319342247,0.237835787,0.000645606,0.039741329
LRC1_2_7_0.json,0.503751783,0.474081201,0.370811442,0.162831788,0.008471811,0.040737255
LRC1_2_8_0.json,0.51216529,0.552100933,0.421502389,0.282867138,0,0.065779908
LRC1_2_9_0.json,0.484720887,0.479879368,0.381944018,0.291896202,0,0.045148471
LRC1_4_10_0.json,0.553599666,0.573054166,0.440571403,0.266808367,0.008599418,0.051376525
LRC1_4_1_0.json,0.562437102,0.609603712,0.497770179,0.358407477,0.020738796,0.095989308
LRC1_4_2_0.json,0.484087939,0.667209879,0.42162311,0.277305895,0,0.075602188
LRC1_4_3_0.json,0.383594287,0.457995441,0.431288733,0.330930747,0.045281064,0.031637855
LRC1_4_4_0.json,0.535844005,0.561760231,0.434505786,0.284082309,0,0.109039956
LRC1_4_5_0.json,0.46555759,0.45831194,0.3003654,0.163538819,0.010552057,0.018151574
LRC1_4_6_0.json,0.636434929,0.529719115,0.421407797,0.3002849,0.007148939,0.002717525
LRC1_4_7_0.json,0.505213219,0.489957975,0.394791807,0.225922307,0.057544502,0
LRC1_4_8_0.json,0.679047954,0.696167385,0.502005826,0.34412678,0.011190342,0.065055021
LRC1_4_9_0.json,0.587276837,0.596739291,0.463422259,0.311720821,0.038608113,0.061420674
LRC1_8_10_0.json,0.514814069,0.527980613,0.298627426,0.36424352,0.043978506,0.022923437
LRC1_8_1_0.json,0.584215158,0.732365459,0.556174579,0.45551154,0.011707655,0.022268747
LRC1_8_2_0.json,0.522988894,0.593744127,0.321232839,0.284832488,0.017575805,0.00388545
LRC1_8_3_0.json,0.517924231,0.497842088,0.374649813,0.292160063,0.017258233,0.003702683
LRC1_8_4_0.json,0.555479379,0.435113548,0.2544755,0.403408035,0.023920302,0.010102247
LRC1_8_5_0.json,0.549132562,0.43628775,0.423660968,0.429090334,0.073180785,0
LRC1_8_6_0.json,0.654492225,0.567638436,0.309692564,0.363456456,0.02004876,0.00288451
LRC1_8_7_0.json,0.549660631,0.541606648,0.274904081,0.447200662,0.021161605,0.002560819
LRC1_8_8_0.json,0.490201474,0.494314676,0.327459091,0.368463868,0.03929875,0.002547551
LRC1_8_9_0.json,0.565140895,0.521202958,0.456574986,0.490890708,0.037565617,0
LRC2_2_10_0.json,0.386749656,0.339848829,0.265160228,0.148892337,0.029611257,0.017953404
LRC2_2_1_0.json,0.519853937,0.564820325,0.466900791,0.284536622,0,0.089355318
LRC2_2_2_0.json,0.444269722,0.382242154,0.262223966,0.199561126,0.007336653,0.003715898
LRC2_2_3_0.json,0.400713155,0.412742543,0.348900608,0.218778406,0.032124028,0
LRC2_2_4_0.json,0.561668553,0.469230572,0.344951217,0.2309771,0.008606958,0.038412441
LRC2_2_5_0.json,0.495813469,0.466375245,0.321390411,0.236319933,0.004311657,0.013700507
LRC2_2_6_0.json,0.593308739,0.555253618,0.368945555,0.231901149,0.000431956,0.014791063
LRC2_2_7_0.json,0.384964096,0.390337537,0.264360495,0.200913123,0.033387036,0
LRC2_2_8_0.json,0.469868415,0.409311098,0.30123371,0.173525389,0.017948444,0.016546295
LRC2_2_9_0.json,0.401010108,0.392493481,0.246759146,0.167658611,0.100113298,0.027970191
LRC2_4_10_0.json,0.421608251,0.41724961,0.329705131,0.230089113,0,0.073380486
LRC2_4_1_0.json,0.444375292,0.562166037,0.42520151,0.333861586,0.016553555,0.070660231
LRC2_4_2_0.json,0.500335229,0.501333837,0.387447759,0.211625864,0.005476229,0.010383573
LRC2_4_3_0.json,0.339278022,0.384946008,0.286378264,0.208624729,0.014348553,0.004789744
LRC2_4_4_0.json,0.502015085,0.417417263,0.336798414,0.189027938,0.006159976,0.011247061
LRC2_4_5_0.json,0.564360743,0.555584463,0.358870939,0.277276322,0.013989652,0.059197385
LRC2_4_6_0.json,0.58260294,0.51035526,0.42858297,0.262207029,0.022851576,0.041041368
LRC2_4_7_0.json,0.514306121,0.542023397,0.33912704,0.184905804,0.046005987,0
LRC2_4_8_0.json,0.491912711,0.628164706,0.489657758,0.232834097,0.004767842,0.007702138
LRC2_4_9_0.json,0.514292488,0.444812718,0.349615745,0.308412758,0.006830157,0.013738693
LRC2_8_10_0.json,0.613567779,0.608218835,0.521567117,0.327351495,0.017407051,0.011716629
LRC2_8_1_0.json,0.604845615,0.615138485,0.502263053,0.216495795,0.02328354,0.00029941
LRC2_8_2_0.json,0.568011029,0.586227126,0.418032125,0.299095207,0.007866632,0.020497163
LRC2_8_3_0.json,0.405192887,0.386022719,0.292153649,0.238098289,0.015922422,0.010324883
LRC2_8_4_0.json,0.385714395,0.428726701,0.275311349,0.175419123,0.00884214,0.005634222
LRC2_8_5_0.json,0.538653493,0.56480239,0.392904369,0.244466202,0.012694289,0.009724654
LRC2_8_6_0.json,0.777733487,0.645224487,0.43296553,0.337204889,0.05146378,0
LRC2_8_7_0.json,0.505297335,0.50141195,0.382021315,0.263768197,0.016343973,0.006722037
LRC2_8_8_0.json,0.552585131,0.711711471,0.470239535,0.359509353,0.011999046,0.007812059
LRC2_8_9_0.json,0.563774374,0.644442311,0.500303891,0.344195292,0.042239068,0.021266557
